fn_Hz,n,N_Cable,Puente,long_m,masa_p_long_kg_m
35.5992980849928,7,2,C,11.692,3.6
42.2064545662623,8,2,C,11.692,3.6
49.2790112153811,9,2,C,11.692,3.6
56.8703746089876,10,2,C,11.692,3.6
64.9347676813916,11,2,C,11.692,3.6
73.5942626077668,12,2,C,11.692,3.6
82.8183413443198,13,2,C,11.692,3.6
92.7290760662242,14,2,C,11.692,3.6
4.13519493400473,1,3,C,13.565,3.6
8.28564888990616,2,3,C,13.565,3.6
12.5505455100328,3,3,C,13.565,3.6
16.9604028381781,4,3,C,13.565,3.6
21.5686274509804,5,3,C,13.565,3.6
26.4362554360265,6,3,C,13.565,3.6
31.5938048371099,7,3,C,13.565,3.6
37.0870527199206,8,3,C,13.565,3.6
42.9388876173037,9,3,C,13.565,3.6
49.1798275730526,10,3,C,13.565,3.6
55.7717250324254,11,3,C,13.565,3.6
62.7985046158541,12,3,C,13.565,3.6
70.1838712138552,13,3,C,13.565,3.6
77.9736018921187,14,3,C,13.565,3.6
86.1982146944381,15,3,C,13.565,3.6
94.9340047302968,16,3,C,13.565,3.6
3.70794232089723,1,4,C,15.46,3.6
7.36247806515602,2,4,C,15.46,3.6
11.1238269626917,3,4,C,15.46,3.6
14.9767299916075,4,4,C,15.46,3.6
18.9669642175937,5,4,C,15.46,3.6
23.09452964065,6,4,C,15.46,3.6
27.4586099031052,7,4,C,15.46,3.6
32.0057984283207,8,4,C,15.46,3.6
36.8047608148318,9,4,C,15.46,3.6
41.89364461738,10,4,C,15.46,3.6
47.2266727702754,11,4,C,15.46,3.6
52.8725108720531,12,4,C,15.46,3.6
58.8158999008164,13,4,C,15.46,3.6
65.0415808346685,14,4,C,15.46,3.6
3.47142748149844,1,5,C,17.364,3.6
6.92759594110017,2,5,C,17.364,3.6
10.4371709773404,3,5,C,17.364,3.6
14.0154116121157,4,5,C,17.364,3.6
17.6775768673228,5,5,C,17.364,3.6
21.4465552758068,6,5,C,17.364,3.6
25.3376058594644,7,5,C,17.364,3.6
29.4117647058824,8,5,C,17.364,3.6
33.6385137712673,9,5,C,17.364,3.6
38.0407415884642,10,5,C,17.364,3.6
42.6108186465248,11,5,C,17.364,3.6
47.4784466315709,12,5,C,17.364,3.6
52.4681467917906,13,5,C,17.364,3.6
57.6714732585641,14,5,C,17.364,3.6
63.1113145647364,15,5,C,17.364,3.6
68.7190051117723,16,5,C,17.364,3.6
74.4258793011368,17,5,C,17.364,3.6
3.34172579537652,1,6,C,19.29,3.6
6.64530403601129,2,6,C,19.29,3.6
10.0022888532845,3,6,C,19.29,3.6
13.3974212252995,4,6,C,19.29,3.6
16.8612191958495,5,6,C,19.29,3.6
20.3936827649348,6,6,C,19.29,3.6
24.0253299763485,7,6,C,19.29,3.6
27.7714198519875,8,6,C,19.29,3.6
31.6395819028,9,6,C,19.29,3.6
35.6298161287861,10,6,C,19.29,3.6
39.7726405737392,11,6,C,19.29,3.6
44.083314259556,12,6,C,19.29,3.6
53.1471732661936,14,6,C,19.29,3.6
57.9385061417563,15,6,C,19.29,3.6
62.8595407034409,16,6,C,19.29,3.6
67.9560540169375,17,6,C,19.29,3.6
73.2738231479362,18,6,C,19.29,3.6
78.7747005416953,19,6,C,19.29,3.6
84.4357976653696,20,6,C,19.29,3.6
3.06706340123598,1,7,C,21.243,3.6
6.11123826962692,2,7,C,21.243,3.6
9.19356069275959,3,7,C,21.243,3.6
12.3064011596857,4,7,C,21.243,3.6
15.4497596704051,5,7,C,21.243,3.6
18.6694132906081,6,7,C,21.243,3.6
21.9501029983978,7,7,C,21.243,3.6
25.3147173266194,8,7,C,21.243,3.6
28.7861448081178,9,7,C,21.243,3.6
32.3491264209964,10,7,C,21.243,3.6
36.0189211871519,11,7,C,21.243,3.6
39.8413061722744,12,7,C,21.243,3.6
43.7323567559319,13,7,C,21.243,3.6
47.7454795147631,14,7,C,21.243,3.6
51.9264515144579,15,7,C,21.243,3.6
56.2066071564813,16,7,C,21.243,3.6
60.6393530174716,17,7,C,21.243,3.6
65.2246890974289,18,7,C,21.243,3.6
69.9931334401465,19,7,C,21.243,3.6
74.891279468986,20,7,C,21.243,3.6
80.0106813153277,21,7,C,21.243,3.6
85.2750438696879,22,7,C,21.243,3.6
2.86869611657893,1,8,C,23.198,3.6
5.71450370031281,2,8,C,23.198,3.6
8.58319981689174,3,8,C,23.198,3.6
11.4824139772641,4,8,C,23.198,3.6
14.4121461814298,5,8,C,23.198,3.6
17.3800259403372,6,8,C,23.198,3.6
20.4013122758831,7,8,C,23.198,3.6
23.4836346990158,8,8,C,23.198,3.6
26.6575112535286,9,8,C,23.198,3.6
29.8771648737316,10,8,C,23.198,3.6
33.2112611581598,11,8,C,23.198,3.6
36.6216525520714,12,8,C,23.198,3.6
40.1312275883116,13,8,C,23.198,3.6
43.6942092011902,14,8,C,23.198,3.6
47.3868925001907,15,8,C,23.198,3.6
51.1787594415198,16,8,C,23.198,3.6
55.0698100251774,17,8,C,23.198,3.6
59.0753032730602,18,8,C,23.198,3.6
63.1799801632715,19,8,C,23.198,3.6
67.4448767833982,20,8,C,23.198,3.6
71.8623636224918,21,8,C,23.198,3.6
76.3790341039139,22,8,C,23.198,3.6
81.048294804303,23,8,C,23.198,3.6
85.8396276798657,24,8,C,23.198,3.6
5.01258869306477,2,9,C,25.164,3.6
7.53795681696803,3,9,C,25.164,3.6
10.0862134737163,4,9,C,25.164,3.6
12.6344701304646,5,9,C,25.164,3.6
15.228503852903,6,9,C,25.164,3.6
17.8683146410315,7,9,C,25.164,3.6
20.5539024948501,8,9,C,25.164,3.6
23.3005264362554,9,9,C,25.164,3.6
26.1081864652476,10,9,C,25.164,3.6
28.9921416037232,11,9,C,25.164,3.6
31.9371328297856,12,9,C,25.164,3.6
